,Question,Type,Retrieved?,Answered?,Notes
0,What is data integrity in GMP?,answerable,True,True,
1,How should out-of-specification results be handled?,answerable,True,True,
2,What is the purpose of process validation?,answerable,True,True,
3,What are requirements for electronic signatures?,answerable,True,True,
4,What is CAPA in pharma?,weak,True,False,
5,What steps should be taken after detecting a data integrity issue?,answerable,True,True,
6,How do CAPA and deviation handling relate to each other?,weak,True,False,
7,What is ALCOA and how is it used in data integrity?,weak,True,True,
8,What is required before a manufacturing process is approved?,answerable,True,True,
9,How does process validation contribute to product quality and compliance?,answerable,True,True,
10,What risks arise from poor documentation practices?,answerable,True,True,
11,How does GMP ensure product quality?,answerable,True,True,
12,What is the relationship between validation and compliance?,weak,True,True,
13,Who approves SOP changes internally?,unanswerable,True,True,
14,What is the company’s internal deviation policy?,unanswerable,True,False,
15,What tools are used internally for compliance tracking?,unanswerable,True,True,
16,Who should I reach out to with questions about the Automation SOP?,unanswerable,True,False,
